symbol,date,open,high,low,close,volume
1101,2010-12-31,32.5,32.9,32.35,32.8,12603384
1101,2010-12-30,32.25,32.6,32.25,32.45,8724348
1101,2010-12-29,32.25,32.45,32,32.45,8461511
1101,2010-12-28,32.4,32.45,32.1,32.25,7479614
1101,2010-12-27,32.5,32.7,32.15,32.4,14742445
1101,2010-12-24,32.85,33,32.65,32.75,19078347
1101,2010-12-23,32.8,33.75,32.65,33.4,17393851
1101,2010-12-22,32.85,32.95,32.6,32.8,5757242
1101,2010-12-21,32.65,32.8,32.45,32.8,4758624
1101,2010-12-20,32.95,32.95,32.45,32.65,5773504
1101,2010-12-17,32.6,33.05,32.6,33,7757403
1101,2010-12-16,33,33,32.5,32.7,8840796
1101,2010-12-15,32.7,33,32.4,33,6890080
1101,2010-12-14,33,33.15,32.55,32.7,10613659
1101,2010-12-13,33.1,33.35,33,33,7810870
1101,2010-12-10,33.05,33.3,33,33.15,6527648
1101,2010-12-09,33.5,33.55,32.95,33.15,14351247
1101,2010-12-08,33,34.05,32.8,33.55,36509744
1101,2010-12-07,32,33.3,31.95,33,29847098
1101,2010-12-06,32.05,32.1,31.65,32,17183173
1101,2010-12-03,32.4,32.4,31.4,32.05,10424074
1101,2010-12-02,32.6,32.65,31.95,32.3,12027566
1101,2010-12-01,31.6,32.2,31.35,32.2,15487481
1101,2010-11-30,31.3,31.5,31,31.35,12092258
1101,2010-11-29,31.4,31.4,30.95,31,7523816
1101,2010-11-26,31.15,31.2,30.9,30.9,9467373
1101,2010-11-25,30.7,31.45,30.5,31.45,11981431
1101,2010-11-24,31.45,31.6,30.6,30.95,15182308
1101,2010-11-23,32.1,32.2,31.5,31.65,11265618
1101,2010-11-22,32.2,32.4,32.05,32.15,5327986
1101,2010-11-19,32.4,32.45,31.75,31.9,10061308
1101,2010-11-18,32.2,32.4,32,32.15,4297407
1101,2010-11-17,32,32.35,32,32.2,4467508
1101,2010-11-16,32.3,32.4,31.6,32.4,15884922
1101,2010-11-15,33.15,33.15,32,32.25,11404637
1101,2010-11-12,33.5,33.6,32.85,33.2,16228164
1101,2010-11-11,34.2,34.3,33.65,33.8,5800652
1101,2010-11-10,34.3,34.5,34.05,34.2,6737348
1101,2010-11-09,34.4,34.5,34,34.1,3742638
1101,2010-11-08,34,34.45,33.9,34.3,11396787
1101,2010-11-05,34.25,34.3,33.6,33.9,7945162
1101,2010-11-04,34.2,34.4,33.95,34.1,10330408
1101,2010-11-03,33.6,34.2,33.6,34.1,16767522
1101,2010-11-02,33.2,33.5,33,33.45,7059751
1101,2010-11-01,32.6,33.15,32.6,33,8824628
1101,2010-10-29,32.7,32.7,32.3,32.6,9170022
1101,2010-10-28,33.05,33.4,32.6,32.75,11777288
1101,2010-10-27,33.5,33.55,32.65,33.05,10164992
1101,2010-10-26,33.15,33.5,32.8,33.5,9470671
1101,2010-10-25,33.3,33.65,33,33.25,7764872
1101,2010-10-22,33.15,33.3,32.6,33.3,9197148
1101,2010-10-21,32.55,33.1,32.35,33,7509955
1101,2010-10-20,32.55,32.95,32.5,32.5,10527755
1101,2010-10-19,33.3,33.3,32.5,32.6,8329991
1101,2010-10-18,33.75,33.85,32.95,33.3,7461776
1101,2010-10-15,34.5,34.5,33.65,33.75,5477944
1101,2010-10-14,34,34.5,33.85,34.2,15901409
1101,2010-10-13,33.55,33.9,33.35,33.5,14396464
1101,2010-10-12,33.95,34,33.4,33.45,9986694
1101,2010-10-11,34.45,34.8,33.7,33.8,14702170
1101,2010-10-08,34.5,34.75,33.75,34.35,26121904
1101,2010-10-06,33.4,34.1,33.3,34.05,21720861
1101,2010-10-05,33.2,33.3,32.85,33.25,8116165
1101,2010-10-04,33.4,33.75,33.25,33.3,9317895
1101,2010-10-01,33.3,33.55,32.9,33.45,6744851
1101,2010-09-30,33.1,33.4,32.75,33.4,8112620
1101,2010-09-29,34,34.1,33.15,33.15,19405743
1101,2010-09-28,33.3,33.95,33,33.95,22357455
1101,2010-09-27,32.35,33.6,32.2,33.35,20868888
1101,2010-09-24,32.4,32.6,32,32.3,12721578
1101,2010-09-23,33.3,33.3,32.35,32.4,9680392
1101,2010-09-21,33.6,33.8,32.8,33.3,11867624
1101,2010-09-20,32.85,33.65,32.85,33.4,17349533
1101,2010-09-17,32.9,32.95,32.45,32.6,8411993
1101,2010-09-16,32.9,33,32.4,32.85,8519189
1101,2010-09-15,33,33,32.3,32.9,12663524
1101,2010-09-14,33,33,32.5,33,16762707
1101,2010-09-13,32.5,32.95,32.5,32.8,20627744
1101,2010-09-10,31.6,32.15,31.6,32,26224482
1101,2010-09-09,31.55,31.55,30.9,31.25,8489140
1101,2010-09-08,31.2,31.2,30.8,31.15,8009303
1101,2010-09-07,32,32,31.2,31.3,11190065
1101,2010-09-06,32,32.2,31.8,31.8,24101120
1101,2010-09-03,31,31.8,31,31.8,42379773
1101,2010-09-02,30.5,31.1,30.5,30.95,36967477
1101,2010-09-01,29.5,30.1,29.5,30,14719848
1101,2010-08-31,29.3,29.55,29,29.45,9146064
1101,2010-08-30,30.1,30.15,29.3,29.55,8017935
1101,2010-08-27,29.8,29.8,29.45,29.7,6373232
1101,2010-08-26,29.3,29.6,29,29.4,11012115
1101,2010-08-25,30,30,29.15,29.3,16633081
1101,2010-08-24,30.3,30.6,30,30,31056387
1101,2010-08-23,29,30.4,29,30.1,32908620
1101,2010-08-20,28.65,28.95,28.5,28.8,11283421
1101,2010-08-19,29,29.1,28.65,28.75,10507388
1101,2010-08-18,29.1,29.25,28.85,28.9,13738394
1101,2010-08-17,29.35,29.35,28.8,28.9,18908948
1101,2010-08-16,30,30,29,29.35,23331621
1101,2010-08-13,30,30.1,29.35,29.9,20452652
1101,2010-08-12,30.05,30.25,29.75,30.1,9775184
1101,2010-08-11,30.55,30.7,30.3,30.4,15686284
1101,2010-08-10,30.6,31.1,30.45,30.45,25114480
1101,2010-08-09,30.4,30.5,30.25,30.25,27172191
1101,2010-08-06,28.9,29.85,28.75,29.8,28347710
1101,2010-08-05,29.8,29.95,29,29.3,15647529
1101,2010-08-04,30.3,30.35,29.7,29.9,14875988
1101,2010-08-03,30.4,30.4,29.85,30.3,17473981
1101,2010-08-02,29.9,30.5,29.85,30,28072615
1101,2010-07-30,29.4,30.25,29.4,29.8,40835800
1101,2010-07-29,28.8,29.5,28.5,29.35,30016229
1101,2010-07-28,28.25,28.75,28.2,28.65,11294210
1101,2010-07-27,28.65,28.8,28.35,28.35,4387908
1101,2010-07-26,28.8,28.8,28.3,28.75,10817949
1101,2010-07-23,28.35,28.7,28.1,28.5,15278961
1101,2010-07-22,27.6,28.25,27.5,28.1,20024275
1101,2010-07-21,27.6,27.65,27.2,27.35,5571624
1101,2010-07-20,27.3,27.65,26.9,27.5,8749544
1101,2010-07-19,27,27.3,26.75,27.3,10980714
1101,2010-07-16,27.55,27.85,26.9,27.25,24687191
1101,2010-07-15,27.75,27.75,27.5,27.5,9757863
1101,2010-07-14,27.3,27.75,27.3,27.75,26138257
1101,2010-07-13,29.05,29.15,28.85,28.85,17442566
1101,2010-07-12,29.1,29.2,29,29.05,11184768
1101,2010-07-09,28.55,29,28.55,28.95,12721227
1101,2010-07-08,28.8,28.95,28.45,28.55,7518118
1101,2010-07-07,29,29,28.5,28.55,7776964
1101,2010-07-06,28,29.05,28,29,18487221
1101,2010-07-05,27.6,28.3,27.25,28.2,8407351
1101,2010-07-02,27.2,27.65,27.1,27.4,6501446
1101,2010-07-01,27.2,27.2,26.9,27,5756507
1101,2010-06-30,27.1,27.3,27,27.3,8545795
1101,2010-06-29,27.95,28.25,27.6,27.6,10087372
1101,2010-06-28,27.75,27.9,27.6,27.6,5385204
1101,2010-06-25,27.8,27.8,27.6,27.7,6053109
1101,2010-06-24,28,28.1,27.8,28.1,4582524
1101,2010-06-23,28.4,28.4,27.9,28.1,6579572
1101,2010-06-22,28.3,28.5,28.2,28.4,8011098
1101,2010-06-21,28.4,28.6,28.1,28.35,15464716
1101,2010-06-18,27.9,28,27.5,27.8,14157775
1101,2010-06-17,27.6,27.8,27.6,27.7,8958472
1101,2010-06-15,27.4,27.65,27.3,27.6,9317091
1101,2010-06-14,27.45,27.5,27.25,27.4,6931616
1101,2010-06-11,27.2,27.45,27.15,27.3,7792145
1101,2010-06-10,27,27.05,26.45,27,5372165
1101,2010-06-09,27.15,27.15,26.75,26.8,6432619
1101,2010-06-08,26.5,27,26.5,26.85,3119275
1101,2010-06-07,26.2,26.85,26.2,26.65,5787260
1101,2010-06-04,27.2,27.3,27,27.05,3570478
1101,2010-06-03,27.4,27.4,27.15,27.25,6524172
1101,2010-06-02,27.15,27.35,26.85,27,6674940
1101,2010-06-01,27.3,27.45,27.05,27.35,7443634
1101,2010-05-31,27.3,27.35,27,27.35,7793189
1101,2010-05-28,27.2,27.35,26.8,27,9957458
1101,2010-05-27,26.4,27.1,26,26.85,11668680
1101,2010-05-26,25.8,26.3,25.6,25.85,14319420
