symbol,name,market,exchange,type,last_updated
1101,台泥,TSE,TWSE,EQUITY,2024-05-22
1102,亞泥,TSE,TWSE,EQUITY,2024-05-22
1103,嘉泥,TSE,TWSE,EQUITY,2024-05-22
1104,環泥,TSE,TWSE,EQUITY,2024-05-22
1108,幸福,TSE,TWSE,EQUITY,2024-05-22
1109,信大,TSE,TWSE,EQUITY,2024-05-22
1110,東泥,TSE,TWSE,EQUITY,2024-05-22
1201,味全,TSE,TWSE,EQUITY,2024-05-22
1203,味王,TSE,TWSE,EQUITY,2024-05-22
1210,大成,TSE,TWSE,EQUITY,2024-05-22
1213,大飲,TSE,TWSE,EQUITY,2024-05-22
1215,卜蜂,TSE,TWSE,EQUITY,2024-05-22
1216,統一,TSE,TWSE,EQUITY,2024-05-22
1217,愛之味,TSE,TWSE,EQUITY,2024-05-22
1218,泰山,TSE,TWSE,EQUITY,2024-05-22
1219,福壽,TSE,TWSE,EQUITY,2024-05-22
1220,台榮,TSE,TWSE,EQUITY,2024-05-22
1225,福懋油,TSE,TWSE,EQUITY,2024-05-22
1227,佳格,TSE,TWSE,EQUITY,2024-05-22
1229,聯華,TSE,TWSE,EQUITY,2024-05-22
1231,聯華食,TSE,TWSE,EQUITY,2024-05-22
1232,大統益,TSE,TWSE,EQUITY,2024-05-22
1233,天仁,TSE,TWSE,EQUITY,2024-05-22
1234,黑松,TSE,TWSE,EQUITY,2024-05-22
1235,興泰,TSE,TWSE,EQUITY,2024-05-22
1236,宏亞,TSE,TWSE,EQUITY,2024-05-22
1256,鮮活果汁-KY,TSE,TWSE,EQUITY,2024-05-22
1301,台塑,TSE,TWSE,EQUITY,2024-05-22
1304,台聚,TSE,TWSE,EQUITY,2024-05-22
1303,南亞,TSE,TWSE,EQUITY,2024-05-22
1305,華夏,TSE,TWSE,EQUITY,2024-05-22
1307,三芳,TSE,TWSE,EQUITY,2024-05-22
1308,亞聚,TSE,TWSE,EQUITY,2024-05-22
